x-axis,1,2,3
second,Ampere,Volt,Volt
-1.650000E+00,,,
-1.647500E+00,-205.528E-03,+35.015E-03,-177.437E-03
-1.645000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.642500E+00,-180.402E-03,+35.015E-03,-164.874E-03
-1.640000E+00,-180.402E-03,+42.553E-03,-177.437E-03
-1.637500E+00,-205.528E-03,+35.015E-03,-164.874E-03
-1.635000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.632500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.630000E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.627500E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.625000E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.622500E+00,-180.402E-03,+42.553E-03,-164.874E-03
-1.620000E+00,-205.528E-03,+47.578E-03,-164.874E-03
-1.617500E+00,-205.528E-03,+45.065E-03,-177.437E-03
-1.615000E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.612500E+00,-205.528E-03,+47.578E-03,-177.437E-03
-1.610000E+00,-205.528E-03,+42.553E-03,-177.437E-03
-1.607500E+00,-205.528E-03,+45.065E-03,-177.437E-03
-1.605000E+00,-205.528E-03,+45.065E-03,-177.437E-03
-1.602500E+00,-180.402E-03,+42.553E-03,-164.874E-03
-1.600000E+00,-205.528E-03,+45.065E-03,-177.437E-03
-1.597500E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.595000E+00,-205.528E-03,+45.065E-03,-164.874E-03
-1.592500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.590000E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.587500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.585000E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.582500E+00,-205.528E-03,+45.065E-03,-164.874E-03
-1.580000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.577500E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.575000E+00,-205.528E-03,+40.040E-03,-177.437E-03
-1.572500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.570000E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.567500E+00,-205.528E-03,+40.040E-03,-177.437E-03
-1.565000E+00,-180.402E-03,+42.553E-03,-164.874E-03
-1.562500E+00,-180.402E-03,+37.528E-03,-164.874E-03
-1.560000E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.557500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.555000E+00,-180.402E-03,+40.040E-03,-164.874E-03
-1.552500E+00,-205.528E-03,+37.528E-03,-164.874E-03
-1.550000E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.547500E+00,-205.528E-03,+37.528E-03,-164.874E-03
-1.545000E+00,-205.528E-03,+37.528E-03,-164.874E-03
-1.542500E+00,-205.528E-03,+37.528E-03,-164.874E-03
-1.540000E+00,-205.528E-03,+40.040E-03,-177.437E-03
-1.537500E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.535000E+00,-205.528E-03,+37.528E-03,-177.437E-03
-1.532500E+00,-205.528E-03,+45.065E-03,-164.874E-03
-1.530000E+00,-205.528E-03,+37.528E-03,-164.874E-03
-1.527500E+00,-205.528E-03,+45.065E-03,-164.874E-03
-1.525000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.522500E+00,-205.528E-03,+52.603E-03,-177.437E-03
-1.520000E+00,-205.528E-03,+47.578E-03,-164.874E-03
-1.517500E+00,-205.528E-03,+50.090E-03,-164.874E-03
-1.515000E+00,-205.528E-03,+52.603E-03,-164.874E-03
-1.512500E+00,-205.528E-03,+52.603E-03,-164.874E-03
-1.510000E+00,-205.528E-03,+45.065E-03,-164.874E-03
-1.507500E+00,-205.528E-03,+47.578E-03,-164.874E-03
-1.505000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.502500E+00,-205.528E-03,+47.578E-03,-164.874E-03
-1.500000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.497500E+00,-205.528E-03,+45.065E-03,-164.874E-03
-1.495000E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.492500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.490000E+00,-205.528E-03,+45.065E-03,-164.874E-03
-1.487500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.485000E+00,-205.528E-03,+50.090E-03,-164.874E-03
-1.482500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.480000E+00,-205.528E-03,+47.578E-03,-177.437E-03
-1.477500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.475000E+00,-205.528E-03,+47.578E-03,-164.874E-03
-1.472500E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.470000E+00,-205.528E-03,+50.090E-03,-164.874E-03
-1.467500E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.465000E+00,-205.528E-03,+47.578E-03,-164.874E-03
-1.462500E+00,-180.402E-03,+42.553E-03,-164.874E-03
-1.460000E+00,-180.402E-03,+47.578E-03,-164.874E-03
-1.457500E+00,-180.402E-03,+45.065E-03,-164.874E-03
-1.455000E+00,-180.402E-03,+47.578E-03,-164.874E-03
-1.452500E+00,-180.402E-03,+45.065E-03,-164.874E-03
-1.450000E+00,-205.528E-03,+50.090E-03,-164.874E-03
-1.447500E+00,-205.528E-03,+47.578E-03,-164.874E-03
-1.445000E+00,-205.528E-03,+47.578E-03,-164.874E-03
-1.442500E+00,-180.402E-03,+50.090E-03,-164.874E-03
-1.440000E+00,-205.528E-03,+45.065E-03,-164.874E-03
-1.437500E+00,-205.528E-03,+50.090E-03,-164.874E-03
-1.435000E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.432500E+00,-205.528E-03,+50.090E-03,-164.874E-03
-1.430000E+00,-205.528E-03,+45.065E-03,-164.874E-03
-1.427500E+00,-180.402E-03,+47.578E-03,-164.874E-03
-1.425000E+00,-180.402E-03,+50.090E-03,-164.874E-03
-1.422500E+00,-205.528E-03,+45.065E-03,-164.874E-03
-1.420000E+00,-205.528E-03,+47.578E-03,-164.874E-03
-1.417500E+00,-205.528E-03,+45.065E-03,-164.874E-03
-1.415000E+00,-205.528E-03,+50.090E-03,-164.874E-03
-1.412500E+00,-205.528E-03,+45.065E-03,-164.874E-03
-1.410000E+00,-205.528E-03,+47.578E-03,-164.874E-03
