x-axis,1,2,3,4
second,Ampere,Volt,Volt,Ampere
-70.0000E-03,,,,
-69.7250E-03,,,,
-69.4500E-03,-258.7941E-03,+19.6123E-03,-402.0101E-03,+241.2059E-03
-69.1750E-03,-258.7941E-03,+25.5511E-03,-415.7149E-03,+222.9327E-03
-68.9000E-03,-309.0454E-03,+19.7265E-03,-374.6003E-03,+241.2059E-03
-68.6250E-03,-277.0673E-03,+29.5483E-03,-429.4198E-03,+241.2059E-03
-68.3500E-03,-309.0454E-03,+18.8128E-03,-356.3271E-03,+241.2059E-03
-68.0750E-03,-290.7722E-03,+20.0691E-03,-402.0101E-03,+209.2278E-03
-67.8000E-03,-258.7941E-03,+22.9243E-03,-365.4637E-03,+241.2059E-03
-67.5250E-03,-258.7941E-03,+21.7822E-03,-374.6003E-03,+222.9327E-03
-67.2500E-03,-309.0454E-03,+26.1221E-03,-429.4198E-03,+209.2278E-03
-66.9750E-03,-290.7722E-03,+28.9773E-03,-356.3271E-03,+190.9546E-03
-66.7000E-03,-309.0454E-03,+23.8380E-03,-402.0101E-03,+241.2059E-03
-66.4250E-03,-290.7722E-03,+25.3227E-03,-365.4637E-03,+241.2059E-03
-66.1500E-03,-258.7941E-03,+22.5817E-03,-374.6003E-03,+190.9546E-03
-65.8750E-03,-258.7941E-03,+31.4899E-03,-429.4198E-03,+241.2059E-03
-65.6000E-03,-309.0454E-03,+25.2085E-03,-356.3271E-03,+209.2278E-03
-65.3250E-03,-290.7722E-03,+21.6680E-03,-402.0101E-03,+222.9327E-03
-65.0500E-03,-309.0454E-03,+31.1472E-03,-397.4418E-03,+209.2278E-03
-64.7750E-03,-258.7941E-03,+23.0385E-03,-374.6003E-03,+190.9546E-03
-64.5000E-03,-290.7722E-03,+28.7489E-03,-429.4198E-03,+222.9327E-03
-64.2250E-03,-277.0673E-03,+23.9522E-03,-356.3271E-03,+241.2059E-03
-63.9500E-03,-258.7941E-03,+16.3003E-03,-433.9881E-03,+222.9327E-03
-63.6750E-03,-290.7722E-03,+17.3282E-03,-415.7149E-03,+222.9327E-03
-63.4000E-03,-258.7941E-03,+26.0079E-03,-374.6003E-03,+222.9327E-03
-63.1250E-03,-277.0673E-03,+17.0997E-03,-429.4198E-03,+222.9327E-03
-62.8500E-03,-309.0454E-03,+18.8128E-03,-356.3271E-03,+190.9546E-03
-62.5750E-03,-309.0454E-03,+19.6123E-03,-402.0101E-03,+190.9546E-03
-62.3000E-03,-309.0454E-03,+21.7822E-03,-365.4637E-03,+222.9327E-03
-62.0250E-03,-309.0454E-03,+19.2697E-03,-374.6003E-03,+209.2278E-03
-61.7500E-03,-277.0673E-03,+20.8686E-03,-429.4198E-03,+190.9546E-03
-61.4750E-03,-290.7722E-03,+21.3254E-03,-356.3271E-03,+241.2059E-03
-61.2000E-03,-309.0454E-03,+24.9800E-03,-433.9881E-03,+190.9546E-03
