x-axis,1,2,3,4
second,Ampere,Volt,Volt,Ampere
-41.5000E-03,-309.0454E-03,+58.8769E-03,-259.6315E-03,-8.7437E-03
-41.3200E-03,-309.0454E-03,+58.5977E-03,-270.7984E-03,-8.7437E-03
-41.1400E-03,-309.0454E-03,+64.3208E-03,-240.0893E-03,-8.7437E-03
-40.9600E-03,-309.0454E-03,+64.1812E-03,-178.6711E-03,-8.7437E-03
-40.7800E-03,-309.0454E-03,+63.4833E-03,-170.2959E-03,-8.7437E-03
-40.6000E-03,-309.0454E-03,+59.8540E-03,-134.0034E-03,-8.7437E-03
-40.4200E-03,-309.0454E-03,+60.9707E-03,-187.0463E-03,-8.7437E-03
-40.2400E-03,-309.0454E-03,+58.7373E-03,-223.3389E-03,-8.7437E-03
-40.0600E-03,-309.0454E-03,+58.3185E-03,-268.0067E-03,-8.7437E-03
-39.8800E-03,-309.0454E-03,+56.3643E-03,-279.1736E-03,-8.7437E-03
-39.7000E-03,-309.0454E-03,+59.7144E-03,-265.2150E-03,-8.7437E-03
-39.5200E-03,-309.0454E-03,+57.2019E-03,-203.7968E-03,-8.7437E-03
-39.3400E-03,-309.0454E-03,+58.1790E-03,-173.0877E-03,-8.7437E-03
-39.1600E-03,-309.0454E-03,+57.4810E-03,-136.7951E-03,-8.7437E-03
-38.9800E-03,-309.0454E-03,+57.0623E-03,-164.7125E-03,-8.7437E-03
-38.8000E-03,-309.0454E-03,+58.7373E-03,-198.2133E-03,-8.7437E-03
-38.6200E-03,-309.0454E-03,+58.7373E-03,-251.2563E-03,-8.7437E-03
-38.4400E-03,-309.0454E-03,+59.2957E-03,-287.5489E-03,-8.7437E-03
-38.2600E-03,-309.0454E-03,+59.0165E-03,-262.4232E-03,-8.7437E-03
-38.0800E-03,-309.0454E-03,+62.5062E-03,-228.9224E-03,-8.7437E-03
-37.9000E-03,-309.0454E-03,+59.5748E-03,-175.8794E-03,-8.7437E-03
-37.7200E-03,-309.0454E-03,+60.5519E-03,-153.5455E-03,+13.5902E-03
-37.5400E-03,-281.1280E-03,+57.6206E-03,-167.5042E-03,-8.7437E-03
-37.3600E-03,-309.0454E-03,+58.3185E-03,-187.0463E-03,-8.7437E-03
-37.1800E-03,-309.0454E-03,+58.7373E-03,-237.2976E-03,-8.7437E-03
-37.0000E-03,-309.0454E-03,+58.1790E-03,-259.6315E-03,-8.7437E-03
-36.8200E-03,-309.0454E-03,+59.7144E-03,-281.9654E-03,-8.7437E-03
-36.6400E-03,-309.0454E-03,+58.4581E-03,-240.0893E-03,-8.7437E-03
