x-axis,1,2,3,4
second,Ampere,Volt,Volt,Ampere
-70.0000E-03,,,,
-69.7250E-03,,,,
-69.4500E-03,-258.7941E-03,+74.6603E-03,-415.7149E-03,+190.9546E-03
-69.1750E-03,-258.7941E-03,+65.2953E-03,-374.6003E-03,+190.9546E-03
-68.9000E-03,-290.7722E-03,+64.4958E-03,-429.4198E-03,+190.9546E-03
-68.6250E-03,-258.7941E-03,+67.4652E-03,-374.6003E-03,+190.9546E-03
-68.3500E-03,-258.7941E-03,+68.1504E-03,-433.9881E-03,+190.9546E-03
-68.0750E-03,-258.7941E-03,+71.6909E-03,-415.7149E-03,+190.9546E-03
-67.8000E-03,-258.7941E-03,+71.5767E-03,-374.6003E-03,+190.9546E-03
-67.5250E-03,-258.7941E-03,+72.0335E-03,-429.4198E-03,+190.9546E-03
-67.2500E-03,-258.7941E-03,+72.3761E-03,-406.5783E-03,+190.9546E-03
-66.9750E-03,-258.7941E-03,+74.8887E-03,-433.9881E-03,+190.9546E-03
-66.7000E-03,-258.7941E-03,+76.1450E-03,-415.7149E-03,+190.9546E-03
-66.4250E-03,-258.7941E-03,+69.5209E-03,-374.6003E-03,+190.9546E-03
-66.1500E-03,-258.7941E-03,+70.3204E-03,-429.4198E-03,+190.9546E-03
-65.8750E-03,-258.7941E-03,+71.1198E-03,-406.5783E-03,+190.9546E-03
-65.6000E-03,-258.7941E-03,+69.9778E-03,-433.9881E-03,+190.9546E-03
-65.3250E-03,-258.7941E-03,+70.4346E-03,-415.7149E-03,+190.9546E-03
-65.0500E-03,-258.7941E-03,+68.2647E-03,-374.6003E-03,+190.9546E-03
-64.7750E-03,-258.7941E-03,+66.5515E-03,-429.4198E-03,+190.9546E-03
-64.5000E-03,-258.7941E-03,+72.9472E-03,-374.6003E-03,+190.9546E-03
-64.2250E-03,-258.7941E-03,+68.1504E-03,-433.9881E-03,+190.9546E-03
-63.9500E-03,-258.7941E-03,+69.6351E-03,-415.7149E-03,+190.9546E-03
-63.6750E-03,-258.7941E-03,+69.0641E-03,-392.8735E-03,+190.9546E-03
-63.4000E-03,-309.0454E-03,+69.8636E-03,-429.4198E-03,+190.9546E-03
-63.1250E-03,-290.7722E-03,+70.3204E-03,-406.5783E-03,+190.9546E-03
-62.8500E-03,-258.7941E-03,+71.4625E-03,-433.9881E-03,+190.9546E-03
-62.5750E-03,-258.7941E-03,+75.1171E-03,-415.7149E-03,+190.9546E-03
-62.3000E-03,-277.0673E-03,+69.0641E-03,-374.6003E-03,+190.9546E-03
-62.0250E-03,-309.0454E-03,+71.0056E-03,-429.4198E-03,+190.9546E-03
-61.7500E-03,-290.7722E-03,+72.3761E-03,-374.6003E-03,+190.9546E-03
-61.4750E-03,-290.7722E-03,+71.6909E-03,-433.9881E-03,+190.9546E-03
-61.2000E-03,-290.7722E-03,+67.4652E-03,-415.7149E-03,+190.9546E-03
