x-axis,1,2,3,4
second,Ampere,Volt,Volt,Ampere
-106.5000E-03,,,,
-106.2550E-03,-309.0454E-03,+31.9822E-03,-419.4442E-03,+163.2651E-03
-106.0100E-03,-309.0454E-03,+24.9573E-03,-442.0060E-03,+190.9546E-03
-105.7650E-03,-309.0454E-03,+29.2902E-03,-442.0060E-03,+190.9546E-03
-105.5200E-03,-309.0454E-03,+24.9573E-03,-442.0060E-03,+140.7033E-03
-105.2750E-03,-309.0454E-03,+29.8542E-03,-447.1336E-03,+190.9546E-03
-105.0300E-03,-309.0454E-03,+31.6746E-03,-452.2613E-03,+190.9546E-03
-104.7850E-03,-309.0454E-03,+32.8026E-03,-457.3890E-03,+190.9546E-03
-104.5400E-03,-309.0454E-03,+32.6232E-03,-462.5167E-03,+190.9546E-03
-104.2950E-03,-309.0454E-03,+28.8543E-03,-462.5167E-03,+190.9546E-03
-104.0500E-03,-309.0454E-03,+31.3669E-03,-462.5167E-03,+190.9546E-03
-103.8050E-03,-309.0454E-03,+27.4699E-03,-485.0785E-03,+190.9546E-03
-103.5600E-03,-309.0454E-03,+27.4699E-03,-452.2613E-03,+190.9546E-03
-103.3150E-03,-309.0454E-03,+32.0591E-03,-447.1336E-03,+190.9546E-03
-103.0700E-03,-309.0454E-03,+32.3668E-03,-442.0060E-03,+168.3928E-03
-102.8250E-03,-309.0454E-03,+30.9823E-03,-442.0060E-03,+190.9546E-03
-102.5800E-03,-309.0454E-03,+30.4183E-03,-442.0060E-03,+190.9546E-03
-102.3350E-03,-309.0454E-03,+30.5465E-03,-442.0060E-03,+190.9546E-03
-102.0900E-03,-309.0454E-03,+23.7010E-03,-474.8231E-03,+190.9546E-03
-101.8450E-03,-309.0454E-03,+27.3417E-03,-429.6995E-03,+190.9546E-03
-101.6000E-03,-309.0454E-03,+28.2903E-03,-462.5167E-03,+190.9546E-03
-101.3550E-03,-309.0454E-03,+23.1370E-03,-462.5167E-03,+190.9546E-03
-101.1100E-03,-309.0454E-03,+25.0855E-03,-490.2061E-03,+190.9546E-03
-100.8650E-03,-309.0454E-03,+25.2137E-03,-485.0785E-03,+190.9546E-03
-100.6200E-03,-309.0454E-03,+24.5214E-03,-457.3890E-03,+168.3928E-03
-100.3750E-03,-309.0454E-03,+23.1370E-03,-474.8231E-03,+163.2651E-03
-100.1300E-03,-309.0454E-03,+24.6496E-03,-469.6954E-03,+190.9546E-03
-99.8850E-03,-309.0454E-03,+23.8292E-03,-442.0060E-03,+190.9546E-03
-99.6400E-03,-309.0454E-03,+26.6494E-03,-464.5677E-03,+190.9546E-03
-99.3950E-03,-309.0454E-03,+25.5213E-03,-442.0060E-03,+168.3928E-03
-99.1500E-03,-309.0454E-03,+27.7775E-03,-447.1336E-03,+168.3928E-03
-98.9050E-03,-309.0454E-03,+29.2902E-03,-452.2613E-03,+190.9546E-03
-98.6600E-03,-309.0454E-03,+25.9059E-03,-457.3890E-03,+190.9546E-03
-98.4150E-03,-309.0454E-03,+29.5466E-03,-462.5167E-03,+168.3928E-03
-98.1700E-03,-309.0454E-03,+24.9573E-03,-462.5167E-03,+190.9546E-03
-97.9250E-03,-309.0454E-03,+28.1621E-03,-462.5167E-03,+190.9546E-03
-97.6800E-03,-309.0454E-03,+27.0340E-03,-457.3890E-03,+190.9546E-03
-97.4350E-03,-309.0454E-03,+23.7010E-03,-479.9508E-03,+168.3928E-03
-97.1900E-03,-309.0454E-03,+30.6747E-03,-447.1336E-03,+190.9546E-03
-96.9450E-03,-309.0454E-03,+27.2135E-03,-442.0060E-03,+190.9546E-03
-96.7000E-03,-309.0454E-03,+24.8291E-03,-442.0060E-03,+168.3928E-03
-96.4550E-03,-309.0454E-03,+23.0088E-03,-442.0060E-03,+168.3928E-03
-96.2100E-03,-309.0454E-03,+23.7010E-03,-442.0060E-03,+190.9546E-03
-95.9650E-03,-309.0454E-03,+23.7010E-03,-424.5718E-03,+190.9546E-03
-95.7200E-03,-309.0454E-03,+25.7777E-03,-479.9508E-03,+140.7033E-03
-95.4750E-03,-309.0454E-03,+24.5214E-03,-462.5167E-03,+190.9546E-03
-95.2300E-03,-309.0454E-03,+25.0855E-03,-490.2061E-03,+140.7033E-03
-94.9850E-03,-309.0454E-03,+23.8292E-03,-462.5167E-03,+140.7033E-03
-94.7400E-03,-309.0454E-03,+30.1106E-03,-462.5167E-03,+190.9546E-03
-94.4950E-03,-309.0454E-03,+29.5466E-03,-457.3890E-03,+190.9546E-03
-94.2500E-03,-309.0454E-03,+31.3669E-03,-474.8231E-03,+190.9546E-03
-94.0050E-03,-309.0454E-03,+28.2903E-03,-469.6954E-03,+190.9546E-03
-93.7600E-03,-309.0454E-03,+29.5978E-03,-442.0060E-03,+163.2651E-03
-93.5150E-03,-309.0454E-03,+32.3668E-03,-464.5677E-03,+163.2651E-03
-93.2700E-03,-309.0454E-03,+26.0854E-03,-442.0060E-03,+140.7033E-03
-93.0250E-03,-309.0454E-03,+28.4698E-03,-447.1336E-03,+190.9546E-03
-92.7800E-03,-309.0454E-03,+29.4184E-03,-452.2613E-03,+168.3928E-03
-92.5350E-03,-309.0454E-03,+26.7776E-03,-434.8272E-03,+163.2651E-03
-92.2900E-03,-309.0454E-03,+28.8543E-03,-439.9549E-03,+190.9546E-03
-92.0450E-03,-309.0454E-03,+24.2651E-03,-439.9549E-03,+163.2651E-03
-91.8000E-03,-309.0454E-03,+30.1106E-03,-462.5167E-03,+190.9546E-03
-91.5550E-03,-309.0454E-03,+28.2903E-03,-434.8272E-03,+190.9546E-03
-91.3100E-03,-309.0454E-03,+23.7010E-03,-452.2613E-03,+190.9546E-03
-91.0650E-03,-309.0454E-03,+26.9058E-03,-447.1336E-03,+190.9546E-03
-90.8200E-03,-309.0454E-03,+26.6494E-03,-442.0060E-03,+168.3928E-03
