x-axis,1,2,3,4
second,Ampere,Volt,Volt,Ampere
-70.0000E-03,,,,
-69.7250E-03,,,,
-69.4500E-03,-277.0673E-03,+27.9494E-03,-582.4578E-03,+222.9327E-03
-69.1750E-03,-309.0454E-03,+22.5817E-03,-502.5126E-03,+190.9546E-03
-68.9000E-03,-309.0454E-03,+28.9773E-03,-548.1955E-03,+190.9546E-03
-68.6250E-03,-309.0454E-03,+25.7795E-03,-536.7748E-03,+190.9546E-03
-68.3500E-03,-309.0454E-03,+23.0385E-03,-468.2504E-03,+190.9546E-03
-68.0750E-03,-309.0454E-03,+22.5817E-03,-582.4578E-03,+190.9546E-03
-67.8000E-03,-309.0454E-03,+23.8380E-03,-502.5126E-03,+190.9546E-03
-67.5250E-03,-309.0454E-03,+27.7210E-03,-502.5126E-03,+190.9546E-03
-67.2500E-03,-277.0673E-03,+31.7183E-03,-536.7748E-03,+190.9546E-03
-66.9750E-03,-309.0454E-03,+22.5817E-03,-468.2504E-03,+190.9546E-03
-66.7000E-03,-309.0454E-03,+28.1779E-03,-582.4578E-03,+190.9546E-03
-66.4250E-03,-309.0454E-03,+26.4647E-03,-502.5126E-03,+190.9546E-03
-66.1500E-03,-309.0454E-03,+28.2921E-03,-548.1955E-03,+190.9546E-03
-65.8750E-03,-309.0454E-03,+23.9522E-03,-536.7748E-03,+190.9546E-03
-65.6000E-03,-309.0454E-03,+18.8128E-03,-468.2504E-03,+190.9546E-03
-65.3250E-03,-309.0454E-03,+22.9243E-03,-582.4578E-03,+190.9546E-03
-65.0500E-03,-277.0673E-03,+23.4954E-03,-502.5126E-03,+190.9546E-03
-64.7750E-03,-258.7941E-03,+20.9828E-03,-548.1955E-03,+190.9546E-03
-64.5000E-03,-258.7941E-03,+23.1527E-03,-536.7748E-03,+190.9546E-03
-64.2250E-03,-277.0673E-03,+22.2391E-03,-468.2504E-03,+190.9546E-03
-63.9500E-03,-309.0454E-03,+25.7795E-03,-536.7748E-03,+190.9546E-03
-63.6750E-03,-309.0454E-03,+24.7516E-03,-502.5126E-03,+190.9546E-03
-63.4000E-03,-309.0454E-03,+24.7516E-03,-548.1955E-03,+190.9546E-03
-63.1250E-03,-309.0454E-03,+26.3505E-03,-536.7748E-03,+190.9546E-03
-62.8500E-03,-309.0454E-03,+26.0079E-03,-468.2504E-03,+190.9546E-03
-62.5750E-03,-309.0454E-03,+31.0330E-03,-536.7748E-03,+190.9546E-03
-62.3000E-03,-309.0454E-03,+27.6068E-03,-502.5126E-03,+190.9546E-03
-62.0250E-03,-309.0454E-03,+33.3172E-03,-548.1955E-03,+190.9546E-03
-61.7500E-03,-309.0454E-03,+23.7238E-03,-536.7748E-03,+190.9546E-03
-61.4750E-03,-309.0454E-03,+26.0079E-03,-468.2504E-03,+190.9546E-03
-61.2000E-03,-309.0454E-03,+26.3505E-03,-582.4578E-03,+190.9546E-03
