x-axis,1,2,3,4
second,Ampere,Volt,Volt,Ampere
-106.5000E-03,,,,
-106.2550E-03,-309.0454E-03,+31.9822E-03,-442.0060E-03,+341.7084E-03
-106.0100E-03,-309.0454E-03,+33.6231E-03,-414.3165E-03,+341.7084E-03
-105.7650E-03,-309.0454E-03,+32.9308E-03,-414.3165E-03,+319.1466E-03
-105.5200E-03,-309.0454E-03,+36.0074E-03,-442.0060E-03,+291.4571E-03
-105.2750E-03,-309.0454E-03,+37.2637E-03,-447.1336E-03,+341.7084E-03
-105.0300E-03,-309.0454E-03,+37.2637E-03,-429.6995E-03,+341.7084E-03
-104.7850E-03,-309.0454E-03,+34.1358E-03,-434.8272E-03,+291.4571E-03
-104.5400E-03,-309.0454E-03,+33.7513E-03,-439.9549E-03,+341.7084E-03
-104.2950E-03,-309.0454E-03,+38.3405E-03,-439.9549E-03,+291.4571E-03
-104.0500E-03,-309.0454E-03,+35.6998E-03,-439.9549E-03,+341.7084E-03
-103.8050E-03,-309.0454E-03,+34.4435E-03,-457.3890E-03,+291.4571E-03
-103.5600E-03,-309.0454E-03,+33.1872E-03,-424.5718E-03,+319.1466E-03
-103.3150E-03,-309.0454E-03,+38.2123E-03,-447.1336E-03,+314.0189E-03
-103.0700E-03,-309.0454E-03,+36.8279E-03,-442.0060E-03,+291.4571E-03
-102.8250E-03,-309.0454E-03,+38.6482E-03,-442.0060E-03,+291.4571E-03
-102.5800E-03,-309.0454E-03,+33.1872E-03,-414.3165E-03,+291.4571E-03
-102.3350E-03,-309.0454E-03,+38.6482E-03,-419.4442E-03,+291.4571E-03
-102.0900E-03,-309.0454E-03,+37.2637E-03,-424.5718E-03,+291.4571E-03
-101.8450E-03,-309.0454E-03,+37.9560E-03,-429.6995E-03,+314.0189E-03
-101.6000E-03,-309.0454E-03,+38.3405E-03,-462.5167E-03,+341.7084E-03
-101.3550E-03,-309.0454E-03,+36.3920E-03,-439.9549E-03,+319.1466E-03
-101.1100E-03,-309.0454E-03,+40.1609E-03,-439.9549E-03,+291.4571E-03
-100.8650E-03,-309.0454E-03,+36.9561E-03,-462.5167E-03,+319.1466E-03
-100.6200E-03,-309.0454E-03,+38.9046E-03,-479.9508E-03,+314.0189E-03
-100.3750E-03,-309.0454E-03,+40.1609E-03,-424.5718E-03,+291.4571E-03
-100.1300E-03,-309.0454E-03,+36.4433E-03,-442.0060E-03,+319.1466E-03
-99.8850E-03,-286.4836E-03,+39.7763E-03,-414.3165E-03,+291.4571E-03
-99.6400E-03,-258.7941E-03,+37.8278E-03,-442.0060E-03,+341.7084E-03
-99.3950E-03,-309.0454E-03,+36.3920E-03,-442.0060E-03,+341.7084E-03
-99.1500E-03,-309.0454E-03,+33.7513E-03,-447.1336E-03,+314.0189E-03
-98.9050E-03,-309.0454E-03,+38.5200E-03,-429.6995E-03,+291.4571E-03
-98.6600E-03,-309.0454E-03,+39.3917E-03,-434.8272E-03,+314.0189E-03
-98.4150E-03,-309.0454E-03,+39.5968E-03,-462.5167E-03,+341.7084E-03
-98.1700E-03,-309.0454E-03,+34.4435E-03,-439.9549E-03,+314.0189E-03
-97.9250E-03,-309.0454E-03,+39.5968E-03,-462.5167E-03,+341.7084E-03
-97.6800E-03,-309.0454E-03,+39.5968E-03,-457.3890E-03,+291.4571E-03
-97.4350E-03,-309.0454E-03,+33.1872E-03,-452.2613E-03,+341.7084E-03
-97.1900E-03,-309.0454E-03,+38.3405E-03,-447.1336E-03,+341.7084E-03
-96.9450E-03,-309.0454E-03,+34.4435E-03,-442.0060E-03,+341.7084E-03
-96.7000E-03,-309.0454E-03,+38.6482E-03,-442.0060E-03,+291.4571E-03
-96.4550E-03,-309.0454E-03,+37.3919E-03,-442.0060E-03,+291.4571E-03
-96.2100E-03,-309.0454E-03,+37.9560E-03,-419.4442E-03,+314.0189E-03
-95.9650E-03,-309.0454E-03,+35.1357E-03,-452.2613E-03,+291.4571E-03
-95.7200E-03,-309.0454E-03,+33.6231E-03,-457.3890E-03,+319.1466E-03
-95.4750E-03,-309.0454E-03,+36.9561E-03,-439.9549E-03,+291.4571E-03
-95.2300E-03,-309.0454E-03,+33.1872E-03,-439.9549E-03,+291.4571E-03
-94.9850E-03,-309.0454E-03,+38.3405E-03,-462.5167E-03,+341.7084E-03
-94.7400E-03,-309.0454E-03,+38.3405E-03,-462.5167E-03,+319.1466E-03
-94.4950E-03,-309.0454E-03,+38.3405E-03,-457.3890E-03,+291.4571E-03
-94.2500E-03,-309.0454E-03,+33.1872E-03,-474.8231E-03,+291.4571E-03
-94.0050E-03,-281.3559E-03,+33.4949E-03,-442.0060E-03,+291.4571E-03
-93.7600E-03,-309.0454E-03,+35.8793E-03,-442.0060E-03,+291.4571E-03
-93.5150E-03,-309.0454E-03,+36.6997E-03,-442.0060E-03,+341.7084E-03
-93.2700E-03,-309.0454E-03,+34.7512E-03,-442.0060E-03,+341.7084E-03
-93.0250E-03,-309.0454E-03,+36.6997E-03,-424.5718E-03,+314.0189E-03
-92.7800E-03,-309.0454E-03,+34.8794E-03,-452.2613E-03,+341.7084E-03
-92.5350E-03,-309.0454E-03,+34.0077E-03,-434.8272E-03,+314.0189E-03
-92.2900E-03,-309.0454E-03,+33.1872E-03,-462.5167E-03,+291.4571E-03
-92.0450E-03,-309.0454E-03,+37.6483E-03,-462.5167E-03,+291.4571E-03
-91.8000E-03,-309.0454E-03,+37.6483E-03,-462.5167E-03,+341.7084E-03
-91.5550E-03,-309.0454E-03,+38.3405E-03,-457.3890E-03,+314.0189E-03
-91.3100E-03,-309.0454E-03,+37.0843E-03,-502.5126E-03,+319.1466E-03
-91.0650E-03,-309.0454E-03,+36.3920E-03,-474.8231E-03,+341.7084E-03
-90.8200E-03,-309.0454E-03,+34.0077E-03,-442.0060E-03,+341.7084E-03
