x-axis,1,2,3,4
second,Ampere,Ampere,Volt,Volt
-896.000E-03,-266.332E-03,+241.834E-03,-307.561E-03,+1.092966E+00
-894.900E-03,-266.332E-03,+241.834E-03,-284.719E-03,+1.092966E+00
-893.800E-03,-266.332E-03,+241.834E-03,-200.206E-03,+1.092966E+00
-892.700E-03,-266.332E-03,+241.834E-03,-369.233E-03,+1.092966E+00
-891.600E-03,-266.332E-03,+241.834E-03,-188.785E-03,+1.092966E+00
-890.500E-03,-266.332E-03,+241.834E-03,-307.561E-03,+1.092966E+00
-889.400E-03,-266.332E-03,+241.834E-03,-268.730E-03,+1.252857E+00
-888.300E-03,-266.332E-03,+241.834E-03,-200.206E-03,+1.092966E+00
-887.200E-03,-266.332E-03,+241.834E-03,-344.107E-03,+1.092966E+00
-886.100E-03,-266.332E-03,+241.834E-03,-179.648E-03,+841.710E-03
-885.000E-03,-266.332E-03,+241.834E-03,-323.550E-03,+1.092966E+00
-883.900E-03,-266.332E-03,+241.834E-03,-284.719E-03,+1.092966E+00
-882.800E-03,-266.332E-03,+241.834E-03,-200.206E-03,+1.092966E+00
-881.700E-03,-266.332E-03,+241.834E-03,-353.244E-03,+1.344223E+00
-880.600E-03,-266.332E-03,+241.834E-03,-179.648E-03,+1.344223E+00
-879.500E-03,-266.332E-03,+241.834E-03,-307.561E-03,+1.092966E+00
-878.400E-03,-266.332E-03,+241.834E-03,-284.719E-03,+1.092966E+00
-877.300E-03,-266.332E-03,+241.834E-03,-200.206E-03,+1.092966E+00
-876.200E-03,-266.332E-03,+241.834E-03,-369.233E-03,+1.092966E+00
-875.100E-03,-266.332E-03,+241.834E-03,-179.648E-03,+1.252857E+00
-874.000E-03,-266.332E-03,+241.834E-03,-307.561E-03,+1.252857E+00
-872.900E-03,-266.332E-03,+241.834E-03,-268.730E-03,+1.344223E+00
-871.800E-03,-266.332E-03,+241.834E-03,-200.206E-03,+1.344223E+00
-870.700E-03,-266.332E-03,+241.834E-03,-353.244E-03,+1.092966E+00
-869.600E-03,-266.332E-03,+241.834E-03,-179.648E-03,+1.344223E+00
-868.500E-03,-266.332E-03,+241.834E-03,-307.561E-03,+1.092966E+00
